"","participant_id","treat","age_months","female","kindergarten","teacher_id","school_id","private_school","title1","free_reduced_lunch","state","esl_observed","special_ed_observed","new_student","distracted_a1","distracted_a2","distracted_ppvt","score_a1","invalid_a1","score_a2","invalid_a2","score_ppvt","score_ppvt_age","invalid_ppvt","t_logins_april","t_logins_total","t_weeks_used","t_words_learned","t_financial_struggle","t_misbehavior","t_years_experience","score_pct_change"
"1",100,0,81,1,1,45,"1",0,1,75,1,0,0,0,0,0,0,27,NA,28,0,128,116,0,NA,NA,NA,NA,20,1,43,3.7037037037037
"2",101,0,76,1,1,45,"1",0,1,75,1,0,0,0,0,NA,NA,14,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",102,0,77,1,1,45,"1",0,1,75,1,0,0,0,0,NA,NA,23,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",103,0,68,1,1,45,"1",0,1,75,1,0,0,0,0,0,0,24,NA,25,0,93,102,0,NA,NA,NA,NA,20,1,43,4.16666666666667
"5",104,0,75,1,1,45,"1",0,1,75,1,0,0,0,0,0,0,25,NA,27,0,NA,NA,1,NA,NA,NA,NA,20,1,43,8
"6",105,0,76,0,1,45,"1",0,1,75,1,0,0,0,0,0,0,18,NA,21,0,89,89,0,NA,NA,NA,NA,20,1,43,16.6666666666667
"7",106,0,76,1,1,45,"1",0,1,75,1,0,0,0,1,0,0,21,NA,17,0,54,71,0,NA,NA,NA,NA,20,1,43,-19.047619047619
"8",107,0,76,1,1,45,"1",0,1,75,1,0,0,0,0,0,0,28,NA,26,0,123,117,0,NA,NA,NA,NA,20,1,43,-7.14285714285714
"9",108,0,75,1,1,45,"1",0,1,75,1,0,0,0,0,0,0,21,NA,24,0,88,90,0,NA,NA,NA,NA,20,1,43,14.2857142857143
"10",109,0,73,0,1,45,"1",0,1,75,1,0,0,0,0,0,0,23,NA,26,0,NA,NA,1,NA,NA,NA,NA,20,1,43,13.0434782608696
"11",110,0,76,1,1,45,"1",0,1,75,1,0,0,0,0,0,0,25,NA,25,0,106,103,0,NA,NA,NA,NA,20,1,43,0
"12",111,0,74,0,1,45,"1",0,1,75,1,0,0,0,0,0,0,24,NA,23,0,85,89,0,NA,NA,NA,NA,20,1,43,-4.16666666666667
"13",113,0,76,1,1,45,"1",0,1,75,1,0,0,0,0,0,0,23,NA,26,0,84,87,0,NA,NA,NA,NA,20,1,43,13.0434782608696
"14",114,0,71,0,1,45,"1",0,1,75,1,0,0,0,0,0,0,28,NA,28,0,123,123,0,NA,NA,NA,NA,20,1,43,0
"15",115,0,80,0,1,45,"1",0,1,75,1,0,0,0,0,NA,NA,30,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",116,0,75,1,1,45,"1",0,1,75,1,0,0,0,0,NA,NA,19,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",117,0,69,0,1,45,"1",0,1,75,1,0,0,0,0,NA,NA,24,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",118,0,73,0,1,45,"1",0,1,75,1,0,0,0,0,NA,NA,29,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",119,0,81,0,1,45,"1",0,1,75,1,0,0,0,0,NA,NA,13,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",10148,1,65,1,0,28,"2",0,1,91,3,0,0,0,0,0,1,34,NA,31,0,138,137,0,23,156,35,5,10,1,27,-8.82352941176471
"21",16144,1,58,0,0,28,"2",0,1,91,3,0,0,0,0,0,0,21,NA,24,0,87,108,0,23,156,35,5,10,1,27,14.2857142857143
"22",17009,1,69,1,0,28,"2",0,1,91,3,0,0,0,0,0,0,28,NA,33,0,113,115,0,23,156,35,5,10,1,27,17.8571428571429
"23",18848,1,67,0,0,28,"2",0,1,91,3,0,0,0,0,0,0,30,NA,32,0,109,115,0,23,156,35,5,10,1,27,6.66666666666667
"24",25961,1,65,1,0,28,"2",0,1,91,3,0,0,0,0,0,0,16,NA,18,0,55,80,0,23,156,35,5,10,1,27,12.5
"25",26448,1,60,0,0,28,"2",0,1,91,3,0,1,0,0,NA,NA,12,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",27480,1,68,0,0,28,"2",0,1,91,3,0,1,0,0,0,1,13,NA,16,0,39,65,0,23,156,35,5,10,1,27,23.0769230769231
"27",33415,1,64,0,0,28,"2",0,1,91,3,0,0,0,0,0,0,21,NA,26,0,83,99,0,23,156,35,5,10,1,27,23.8095238095238
"28",34684,1,68,0,0,28,"2",0,1,91,3,0,1,0,1,1,1,31,NA,24,0,91,100,0,23,156,35,5,10,1,27,-22.5806451612903
"29",39545,1,65,0,0,28,"2",0,1,91,3,1,0,0,0,0,0,20,NA,21,0,49,76,0,23,156,35,5,10,1,27,5
"30",53788,1,69,1,0,28,"2",0,1,91,3,0,0,0,0,NA,NA,22,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",59841,1,70,1,0,28,"2",0,1,91,3,0,1,0,0,NA,NA,20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",71745,1,68,1,0,28,"2",0,1,91,3,0,0,0,0,NA,NA,22,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",75843,1,69,0,0,28,"2",0,1,91,3,0,0,0,0,NA,NA,26,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",87105,1,54,0,0,28,"2",0,1,91,3,0,1,0,3,NA,NA,15,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",92584,1,61,0,0,28,"2",0,1,91,3,0,0,0,0,0,0,20,NA,25,0,76,98,0,23,156,35,5,10,1,27,25
"36",93636,1,65,1,0,28,"2",0,1,91,3,0,0,0,0,0,0,16,NA,26,0,76,93,0,23,156,35,5,10,1,27,62.5
"37",96790,1,57,0,0,28,"2",0,1,91,3,0,0,0,0,0,0,20,NA,26,0,56,86,0,23,156,35,5,10,1,27,30
"38",96957,1,61,0,0,28,"2",0,1,91,3,0,0,0,0,NA,NA,12,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",320,1,58,0,0,35,"3",0,0,45,2,0,0,0,1,0,2,21,NA,25,0,58,86,0,38,196,22,2,63,3,37,19.047619047619
"40",12039,1,62,0,0,35,"3",0,0,45,2,0,1,0,3,3,3,18,NA,16,0,51,78,0,38,196,22,2,63,3,37,-11.1111111111111
"41",16198,1,41,0,0,35,"3",0,0,45,2,0,1,0,3,NA,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",20056,1,68,0,0,35,"3",0,0,45,2,0,0,0,0,0,1,33,NA,35,0,134,132,0,38,196,22,2,63,3,37,6.06060606060606
"43",26079,1,55,1,0,35,"3",0,0,45,2,0,0,0,2,0,0,17,NA,17,0,54,87,0,38,196,22,2,63,3,37,0
"44",26194,1,58,1,0,35,"3",0,0,45,2,0,0,0,0,0,0,19,NA,25,0,114,128,0,38,196,22,2,63,3,37,31.5789473684211
"45",29507,1,50,0,0,35,"3",0,0,45,2,0,1,0,3,NA,NA,19,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",29813,1,63,0,0,35,"3",0,0,45,2,1,0,0,0,0,0,27,NA,24,0,102,112,0,38,196,22,2,63,3,37,-11.1111111111111
"47",30395,1,64,0,0,35,"3",0,0,45,2,0,0,0,0,3,2,26,NA,21,0,68,88,0,38,196,22,2,63,3,37,-19.2307692307692
"48",35936,1,67,1,0,35,"3",0,0,45,2,0,0,0,0,0,0,27,NA,28,0,77,92,0,38,196,22,2,63,3,37,3.7037037037037
"49",38478,1,50,0,0,35,"3",0,0,45,2,0,1,0,3,NA,NA,14,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50",44996,1,49,0,0,35,"3",0,0,45,2,0,0,0,0,NA,NA,15,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51",74716,1,63,1,0,35,"3",0,0,45,2,0,0,0,0,0,0,31,NA,30,0,105,114,0,38,196,22,2,63,3,37,-3.2258064516129
"52",74926,1,67,0,0,35,"3",0,0,45,2,0,1,0,2,NA,NA,19,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",79498,1,46,1,0,35,"3",0,0,45,2,0,0,0,0,0,0,13,NA,20,0,75,114,0,38,196,22,2,63,3,37,53.8461538461538
"54",81521,1,66,0,0,35,"3",0,0,45,2,0,0,0,0,0,0,11,NA,19,0,55,78,0,38,196,22,2,63,3,37,72.7272727272727
"55",87192,1,49,0,0,35,"3",0,0,45,2,1,0,0,0,0,0,13,NA,19,0,38,78,0,38,196,22,2,63,3,37,46.1538461538462
"56",90875,1,68,0,0,35,"3",0,0,45,2,0,0,0,0,0,2,30,NA,32,0,116,118,0,38,196,22,2,63,3,37,6.66666666666667
"57",97134,1,67,0,0,35,"3",0,0,45,2,0,0,0,0,NA,NA,25,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58",10554,1,59,1,0,23,"4",1,0,0,2,0,0,0,0,0,0,24,NA,28,0,98,116,0,29,150,22,3,6,3,30,16.6666666666667
"59",11066,1,69,0,0,23,"4",1,0,0,2,0,0,0,0,1,1,23,NA,26,0,96,102,0,29,150,22,3,6,3,30,13.0434782608696
"60",14682,1,61,0,0,23,"4",1,0,0,2,0,0,0,0,0,1,28,NA,31,0,109,122,0,29,150,22,3,6,3,30,10.7142857142857
"61",21507,1,62,1,0,23,"4",1,0,0,2,0,0,0,0,0,0,28,NA,28,0,112,121,0,29,150,22,3,6,3,30,0
"62",29324,1,67,1,0,23,"4",1,0,0,2,0,0,0,0,0,0,29,NA,28,0,113,115,0,29,150,22,3,6,3,30,-3.44827586206897
"63",32012,1,64,1,0,23,"4",1,0,0,2,0,0,0,0,0,0,25,NA,28,0,103,113,0,29,150,22,3,6,3,30,12
"64",34697,1,65,1,0,23,"4",1,0,0,2,0,0,0,0,0,0,20,NA,28,0,107,115,0,29,150,22,3,6,3,30,40
"65",41016,1,59,1,0,23,"4",1,0,0,2,0,0,0,0,0,0,23,NA,31,0,80,101,0,29,150,22,3,6,3,30,34.7826086956522
"66",42810,1,64,0,0,23,"4",1,0,0,2,0,0,0,0,NA,NA,20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67",46118,1,65,0,0,23,"4",1,0,0,2,0,0,0,0,0,1,22,NA,22,0,101,109,0,29,150,22,3,6,3,30,0
"68",55042,1,68,0,0,23,"4",1,0,0,2,0,0,0,0,1,1,28,NA,25,0,105,110,0,29,150,22,3,6,3,30,-10.7142857142857
"69",56124,1,63,1,0,23,"4",1,0,0,2,0,0,0,0,0,0,26,NA,24,0,91,104,0,29,150,22,3,6,3,30,-7.69230769230769
"70",57969,1,61,1,0,23,"4",1,0,0,2,0,0,0,0,0,0,26,NA,31,0,93,110,0,29,150,22,3,6,3,30,19.2307692307692
"71",64890,1,57,1,0,23,"4",1,0,0,2,0,0,0,1,NA,NA,25,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72",71805,1,58,1,0,23,"4",1,0,0,2,0,0,0,0,NA,NA,25,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73",77615,1,59,0,0,23,"4",1,0,0,2,0,0,0,0,NA,NA,30,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74",88131,1,66,1,0,23,"4",1,0,0,2,0,0,0,0,0,1,32,NA,34,0,132,133,0,29,150,22,3,6,3,30,6.25
"75",91767,1,68,0,0,23,"4",1,0,0,2,0,0,0,0,0,0,33,NA,30,0,109,113,0,29,150,22,3,6,3,30,-9.09090909090909
"76",322,0,51,1,0,11,"5",0,0,41,2,0,0,0,0,3,2,21,NA,24,0,85,98,0,NA,NA,NA,NA,17,1,6,14.2857142857143
"77",323,0,45,1,0,11,"5",0,0,41,2,0,0,0,0,2,2,13,NA,15,0,NA,49,1,NA,NA,NA,NA,17,1,6,15.3846153846154
"78",324,0,48,1,0,11,"5",0,0,41,2,0,0,0,1,0,0,14,NA,25,0,58,80,0,NA,NA,NA,NA,17,1,6,78.5714285714286
"79",325,0,56,0,0,11,"5",0,0,41,2,0,0,0,0,0,0,23,NA,28,0,115,119,0,NA,NA,NA,NA,17,1,6,21.7391304347826
"80",326,0,45,0,0,11,"5",0,0,41,2,0,0,0,0,0,1,28,NA,23,0,62,82,0,NA,NA,NA,NA,17,1,6,-17.8571428571429
"81",327,0,103,0,0,11,"5",0,0,41,2,0,1,1,3,NA,NA,11,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82",328,0,56,1,0,11,"5",0,0,41,2,0,0,0,0,NA,NA,23,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83",329,0,50,0,0,11,"5",0,0,41,2,0,0,0,1,1,1,22,NA,23,0,80,94,0,NA,NA,NA,NA,17,1,6,4.54545454545455
"84",330,0,50,1,0,11,"5",0,0,41,2,0,0,0,0,1,1,22,NA,22,0,75,90,0,NA,NA,NA,NA,17,1,6,0
"85",11977,0,61,0,0,31,"5",0,0,41,2,0,0,0,0,NA,NA,23,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86",17481,0,60,1,0,31,"5",0,0,41,2,0,0,0,0,0,0,27,NA,25,0,99,114,0,NA,NA,NA,NA,NA,NA,NA,-7.40740740740741
"87",22333,0,51,1,0,31,"5",0,0,41,2,0,0,0,1,NA,NA,23,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88",32879,0,59,0,0,31,"5",0,0,41,2,0,0,0,0,0,1,24,NA,24,0,107,122,0,NA,NA,NA,NA,NA,NA,NA,0
"89",55853,0,59,0,0,31,"5",0,0,41,2,0,0,0,0,0,0,28,NA,32,0,107,120,0,NA,NA,NA,NA,NA,NA,NA,14.2857142857143
"90",65624,0,51,1,0,31,"5",0,0,41,2,0,0,0,0,0,0,15,NA,21,0,60,83,0,NA,NA,NA,NA,NA,NA,NA,40
"91",66632,0,63,1,0,31,"5",0,0,41,2,0,0,0,1,NA,NA,13,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92",99534,0,63,1,0,31,"5",0,0,41,2,0,0,0,0,0,1,27,NA,25,0,89,105,0,NA,NA,NA,NA,NA,NA,NA,-7.40740740740741
"93",319,1,52,0,0,32,"6",0,1,89,2,0,0,0,2,0,0,22,NA,20,0,54,89,0,13,154,NA,NA,NA,NA,NA,-9.09090909090909
"94",14685,1,64,1,0,32,"6",0,1,89,2,0,0,0,0,0,0,23,NA,18,0,NA,32,1,13,154,NA,NA,NA,NA,NA,-21.7391304347826
"95",17113,1,67,1,0,32,"6",0,1,89,2,1,0,0,0,0,0,19,NA,15,0,68,86,0,13,154,NA,NA,NA,NA,NA,-21.0526315789474
"96",22541,1,52,1,0,32,"6",0,1,89,2,0,0,0,0,0,0,27,NA,26,0,87,116,0,13,154,NA,NA,NA,NA,NA,-3.7037037037037
"97",27811,1,62,1,0,32,"6",0,1,89,2,1,0,0,0,0,0,15,NA,15,0,54,80,0,13,154,NA,NA,NA,NA,NA,0
"98",39865,1,63,1,0,32,"6",0,1,89,2,0,0,0,0,NA,0,12,NA,NA,0,51,78,0,NA,NA,NA,NA,NA,NA,NA,NA
"99",45275,1,58,1,0,32,"6",0,1,89,2,1,0,0,0,0,0,14,NA,16,1,27,62,1,NA,NA,NA,NA,NA,NA,NA,14.2857142857143
"100",66629,1,61,1,0,32,"6",0,1,89,2,0,0,0,0,3,3,29,NA,31,0,118,129,0,13,154,NA,NA,NA,NA,NA,6.89655172413793
"101",76094,1,65,1,0,32,"6",0,1,89,2,1,0,0,0,0,0,28,NA,21,0,71,89,0,13,154,NA,NA,NA,NA,NA,-25
"102",77446,1,62,0,0,32,"6",0,1,89,2,1,0,0,1,0,0,13,NA,17,0,33,64,0,13,154,NA,NA,NA,NA,NA,30.7692307692308
"103",81201,1,68,1,0,32,"6",0,1,89,2,1,0,0,0,0,0,19,NA,21,0,46,71,0,13,154,NA,NA,NA,NA,NA,10.5263157894737
"104",84752,1,65,0,0,32,"6",0,1,89,2,1,0,0,0,0,NA,17,NA,19,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,11.7647058823529
"105",88977,1,60,0,0,32,"6",0,1,89,2,1,0,0,0,0,2,27,NA,26,0,73,96,0,13,154,NA,NA,NA,NA,NA,-3.7037037037037
"106",96310,1,69,1,0,32,"6",0,1,89,2,0,0,0,0,NA,NA,21,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107",96721,1,68,0,0,32,"6",0,1,89,2,1,0,0,0,0,0,26,NA,23,0,66,83,0,13,154,NA,NA,NA,NA,NA,-11.5384615384615
"108",505,1,59,1,0,15,"7",0,1,63,3,1,0,0,0,0,0,19,NA,27,0,92,111,0,33,147,NA,NA,0,2,21,42.1052631578947
"109",506,1,63,0,0,15,"7",0,1,63,3,0,0,0,1,NA,NA,24,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110",507,1,62,1,0,15,"7",0,1,63,3,0,0,0,0,0,0,24,NA,28,0,104,115,0,33,147,NA,NA,0,2,21,16.6666666666667
"111",508,1,63,0,0,21,"7",0,1,63,3,1,0,0,0,NA,NA,21,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112",509,1,65,1,0,21,"7",0,1,63,3,1,0,0,0,0,0,22,NA,23,0,79,96,0,19,131,NA,NA,0,2,12,4.54545454545455
"113",510,1,66,0,0,21,"7",0,1,63,3,1,0,0,0,NA,NA,16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114",518,1,81,0,1,29,"7",0,1,63,3,0,0,0,0,NA,NA,32,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115",519,1,74,1,1,29,"7",0,1,63,3,0,0,0,0,0,0,31,NA,30,0,135,128,0,32,163,10,2,10,3,1,-3.2258064516129
"116",520,1,73,1,1,29,"7",0,1,63,3,0,0,0,0,0,0,34,NA,36,0,119,116,0,32,163,10,2,10,3,1,5.88235294117647
"117",521,1,70,0,1,29,"7",0,1,63,3,0,0,0,0,0,0,27,NA,32,0,108,110,0,32,163,10,2,10,3,1,18.5185185185185
"118",522,1,75,0,1,29,"7",0,1,63,3,0,0,0,0,0,0,29,NA,27,0,119,116,0,32,163,10,2,10,3,1,-6.89655172413793
"119",515,1,69,1,0,30,"7",0,1,63,3,0,0,0,0,0,0,27,NA,30,0,104,107,0,33,147,NA,NA,83,1,13,11.1111111111111
"120",516,1,65,0,0,30,"7",0,1,63,3,0,0,0,0,0,0,20,NA,18,0,70,88,0,33,147,NA,NA,83,1,13,-10
"121",517,1,67,1,0,30,"7",0,1,63,3,0,0,0,0,0,0,19,NA,19,0,71,88,0,33,147,NA,NA,83,1,13,0
"122",511,1,61,1,0,55,"7",0,1,63,3,1,0,0,0,0,0,27,NA,23,0,86,105,0,19,131,NA,NA,100,2,15,-14.8148148148148
"123",512,1,68,0,0,55,"7",0,1,63,3,1,0,0,0,0,0,22,NA,17,0,79,91,0,19,131,NA,NA,100,2,15,-22.7272727272727
"124",513,1,69,1,0,55,"7",0,1,63,3,1,0,0,0,NA,NA,25,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125",514,1,68,0,0,55,"7",0,1,63,3,1,0,0,0,NA,NA,16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126",200,1,73,1,1,46,"8",0,1,94,3,0,0,0,1,0,0,19,NA,25,0,77,87,0,20,108,3,NA,50,3,6,31.5789473684211
"127",201,1,81,0,1,46,"8",0,1,94,3,0,0,0,1,0,0,20,NA,26,0,61,71,0,20,108,3,NA,50,3,6,30
"128",203,1,78,0,1,46,"8",0,1,94,3,0,0,0,0,0,0,28,NA,31,0,111,104,0,20,108,3,NA,50,3,6,10.7142857142857
"129",204,1,78,1,1,46,"8",0,1,94,3,0,0,0,0,0,0,23,NA,26,0,103,99,0,20,108,3,NA,50,3,6,13.0434782608696
"130",205,1,67,1,1,46,"8",0,1,94,3,0,0,0,0,0,0,23,NA,27,0,100,109,0,20,108,3,NA,50,3,6,17.3913043478261
"131",206,1,76,1,1,46,"8",0,1,94,3,0,0,0,0,0,0,26,NA,25,0,103,101,0,20,108,3,NA,50,3,6,-3.84615384615385
"132",207,1,78,0,1,46,"8",0,1,94,3,0,0,0,1,0,0,25,NA,24,0,84,86,0,20,108,3,NA,50,3,6,-4
"133",208,1,76,0,1,46,"8",0,1,94,3,0,0,0,0,0,0,21,NA,26,0,75,82,0,20,108,3,NA,50,3,6,23.8095238095238
"134",209,1,83,0,1,46,"8",0,1,94,3,0,0,1,0,0,NA,33,NA,30,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,-9.09090909090909
"135",210,1,81,1,1,46,"8",0,1,94,3,0,0,0,0,0,0,18,NA,24,0,57,71,0,20,108,3,NA,50,3,6,33.3333333333333
"136",211,1,78,1,1,46,"8",0,1,94,3,0,0,0,NA,0,NA,24,NA,28,0,107,101,0,20,108,3,NA,50,3,6,16.6666666666667
"137",212,1,80,1,1,46,"8",0,1,94,3,0,0,0,0,0,NA,27,NA,26,0,107,99,0,20,108,3,NA,50,3,6,-3.7037037037037
"138",213,1,75,1,1,46,"8",0,1,94,3,0,0,0,0,NA,NA,21,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139",214,1,70,0,1,46,"8",0,1,94,3,0,0,0,0,NA,NA,20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140",10710,1,53,1,0,3,"9",0,0,77,2,0,0,0,0,NA,NA,23,NA,NA,0,72,103,0,NA,NA,NA,NA,NA,NA,NA,NA
"141",17540,1,65,0,0,3,"9",0,0,77,2,0,0,0,2,1,NA,25,NA,29,0,82,98,0,1,42,19,2,50,1,15,16
"142",18290,1,46,1,0,3,"9",0,0,77,2,0,0,0,0,0,NA,16,NA,15,0,50,94,0,1,42,19,2,50,1,15,-6.25
"143",44484,1,68,0,0,3,"9",0,0,77,2,0,0,0,0,0,0,18,NA,23,0,57,78,0,1,42,19,2,50,1,15,27.7777777777778
"144",55876,1,52,0,0,3,"9",0,0,77,2,0,0,0,0,0,0,14,NA,25,0,58,92,0,1,42,19,2,50,1,15,78.5714285714286
"145",62321,1,60,1,0,3,"9",0,0,77,2,0,0,0,1,NA,NA,10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"146",65576,1,68,0,0,3,"9",0,0,77,2,0,0,0,0,0,1,20,NA,17,0,57,78,0,1,42,19,2,50,1,15,-15
"147",67117,1,68,0,0,3,"9",0,0,77,2,0,0,0,1,1,1,22,NA,27,0,69,85,0,1,42,19,2,50,1,15,22.7272727272727
"148",96992,1,62,1,0,3,"9",0,0,77,2,0,0,0,0,1,1,15,NA,21,0,68,89,0,1,42,19,2,50,1,15,40
"149",97010,1,50,0,0,3,"9",0,0,77,2,0,0,0,0,0,0,22,NA,20,0,70,104,0,1,42,19,2,50,1,15,-9.09090909090909
"150",99997,1,56,1,0,3,"9",0,0,77,2,0,0,0,0,1,0,23,NA,21,0,73,100,0,1,42,19,2,50,1,15,-8.69565217391304
"151",31286,1,51,1,0,43,"9",0,0,77,2,0,0,0,1,NA,NA,18,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"152",55218,1,61,0,0,43,"9",0,0,77,2,0,0,0,0,0,0,17,NA,23,0,56,83,0,1,112,20,2,74,1.5,4,35.2941176470588
"153",62182,1,49,0,0,43,"9",0,0,77,2,0,0,0,0,1,0,18,NA,19,0,59,98,0,1,112,20,2,74,1.5,4,5.55555555555556
"154",78441,1,62,1,0,43,"9",0,0,77,2,0,0,0,0,0,0,10,NA,11,0,45,74,0,1,112,20,2,74,1.5,4,10
"155",90247,1,64,0,0,43,"9",0,0,77,2,0,0,0,NA,0,0,19,NA,16,0,35,64,0,1,112,20,2,74,1.5,4,-15.7894736842105
"156",14031,1,51,0,0,59,"10",0,1,93,2,0,1,0,3,0,0,9,NA,11,0,29,72,0,0,21,NA,NA,NA,1,11,22.2222222222222
"157",18000,1,66,1,0,59,"10",0,1,93,2,1,0,0,2,0,0,13,NA,13,0,35,64,0,0,21,NA,NA,NA,1,11,0
"158",23588,1,67,0,0,59,"10",0,1,93,2,1,1,0,1,NA,0,12,NA,18,0,43,70,0,0,21,NA,NA,NA,1,11,50
"159",24926,1,51,0,0,59,"10",0,1,93,2,0,0,0,1,3,3,18,NA,18,0,NA,59,1,0,21,NA,NA,NA,1,11,0
"160",26258,1,65,1,0,59,"10",0,1,93,2,1,0,0,0,NA,1,13,NA,11,0,42,70,0,0,21,NA,NA,NA,1,11,-15.3846153846154
"161",27876,1,67,0,0,59,"10",0,1,93,2,1,1,0,1,0,0,22,NA,18,0,63,83,0,0,21,NA,NA,NA,1,11,-18.1818181818182
